"","yearBP","spd","peri_numeric","cribra","porotic","d18OiceSMOW","lag_25yr","lag_50yr","lag_100yr","spd_fact","LIP_phase"
"766",1215,9.9667997885992e-06,0,0,0,-18.45,NA,NA,NA,NA,NA
"767",1216,9.9667997885992e-06,0,0,0,-18.77,NA,NA,NA,NA,NA
"768",1217,9.9667997885992e-06,0,0,0,-19.08,NA,NA,NA,NA,NA
"769",1218,9.9667997885992e-06,0,0,0,-17.4,NA,NA,NA,NA,NA
"770",1219,9.9667997885992e-06,0,0,0,-16.99,NA,NA,NA,NA,NA
"771",1220,9.9667997885992e-06,0,0,0,-16.99,NA,NA,NA,NA,NA
"772",1221,9.9667997885992e-06,0,0,0,-17.57,NA,NA,NA,NA,NA
"773",1222,1.01674713724272e-05,0,0,0,-18.16,NA,NA,NA,NA,NA
"774",1223,1.04349508020627e-05,0,0,0,-17.08,NA,NA,NA,NA,NA
"775",1224,1.07894159946946e-05,0,0,0,-17.29,NA,NA,NA,NA,NA
"776",1225,1.12564360154799e-05,0,0,0,-17.86,NA,NA,NA,NA,NA
"777",1226,1.17167387716862e-05,0,0,0,-18.65,NA,NA,NA,NA,NA
"778",1227,1.24130219130218e-05,0,0,0,-18.45,NA,NA,NA,NA,NA
"779",1228,1.35712799888846e-05,0,0,0,-17.65,NA,NA,NA,NA,NA
"780",1229,1.47357447319721e-05,0,0,0,-16.78,NA,NA,NA,NA,NA
"781",1230,1.60732478106497e-05,0,0,0,-16.78,NA,NA,NA,NA,NA
"782",1231,1.76071117137226e-05,0,0,0,-17.27,NA,NA,NA,NA,NA
"783",1232,1.91409756167956e-05,0,0,0,-17.69,NA,NA,NA,NA,NA
"784",1233,2.04784786954732e-05,NA,NA,NA,-19.43,NA,NA,NA,NA,NA
"785",1234,2.11791987953939e-05,NA,NA,NA,-19.65,NA,NA,NA,NA,NA
"786",1235,2.14732977705221e-05,NA,NA,NA,-18.32,NA,NA,NA,NA,NA
"787",1236,2.14732977705221e-05,NA,NA,NA,-17.89,NA,NA,NA,NA,NA
"788",1237,2.14732977705221e-05,NA,NA,NA,-17.37,NA,NA,NA,NA,NA
"789",1238,2.14732977705221e-05,NA,NA,NA,-17.4,NA,NA,NA,NA,NA
"790",1239,2.14732977705221e-05,NA,NA,NA,-17.26,NA,NA,NA,NA,NA
"791",1240,2.12546835731476e-05,NA,NA,NA,-17.68,NA,NA,NA,NA,NA
"792",1241,2.09593491002639e-05,NA,NA,NA,-18.01,NA,NA,NA,NA,NA
"793",1242,2.05629155166277e-05,NA,NA,NA,-17.87,NA,NA,NA,NA,NA
"794",1243,1.99554329590214e-05,NA,NA,NA,-17.91,NA,NA,NA,NA,NA
"795",1244,1.92591498176858e-05,NA,NA,NA,-17.84,NA,NA,NA,NA,NA
"796",1245,1.85628666763502e-05,NA,NA,NA,-17.39,NA,NA,NA,NA,NA
"797",1246,1.73992574109802e-05,0,0,0,-17.5,NA,NA,NA,NA,NA
"798",1247,1.62356481456101e-05,0,0,0,-18.3,NA,NA,NA,NA,NA
"799",1248,1.55393650042745e-05,0,0,0,-18.01,NA,NA,NA,NA,NA
"800",1249,1.49318824466682e-05,0,0,0,-17.31,NA,NA,NA,NA,NA
"801",1250,1.44026825981626e-05,0,0,0,-17.35,NA,NA,NA,NA,NA
"802",1251,1.39423798419563e-05,0,0,0,-18.26,NA,NA,NA,NA,NA
"803",1252,1.35426142556486e-05,0,0,0,-18.52,NA,NA,NA,NA,NA
"804",1253,1.30755942348633e-05,0,0,0,-18.46,NA,NA,NA,NA,NA
"805",1254,1.26684299182549e-05,0,0,0,-18.71,NA,NA,NA,NA,NA
"806",1255,1.2313964725623e-05,0,0,0,-18.87,NA,NA,NA,NA,NA
"807",1256,1.20058253808422e-05,0,0,0,-19.66,NA,NA,NA,NA,NA
"808",1257,1.17383459512066e-05,0,0,0,-20.41,NA,NA,NA,NA,NA
"809",1258,1.15064979819229e-05,0,0,0,-20.41,NA,NA,NA,NA,NA
"810",1259,1.15064979819229e-05,0,0,0,-18.4,NA,NA,NA,NA,NA
"811",1260,1.15064979819229e-05,NA,NA,NA,-17.58,NA,NA,NA,NA,NA
"812",1261,1.15064979819229e-05,NA,NA,NA,-16.88,NA,NA,NA,NA,NA
"813",1262,1.15064979819229e-05,NA,NA,NA,-16.4,NA,NA,NA,NA,NA
"814",1263,1.15064979819229e-05,NA,NA,NA,-16.22,NA,NA,NA,NA,NA
"815",1264,1.15064979819229e-05,NA,NA,NA,-16.91,NA,NA,NA,NA,NA
"816",1265,1.15064979819229e-05,NA,NA,NA,-17.6,NA,NA,NA,NA,NA
"817",1266,1.15064979819229e-05,NA,NA,NA,-18.05,NA,NA,NA,NA,NA
"818",1267,1.15064979819229e-05,NA,NA,NA,-18.66,NA,NA,NA,NA,NA
"819",1268,1.15064979819229e-05,NA,NA,NA,-18.29,NA,NA,NA,NA,NA
"820",1269,1.15064979819229e-05,NA,NA,NA,-18.09,NA,NA,NA,NA,NA
"821",1270,1.15064979819229e-05,NA,NA,NA,-18.28,NA,NA,NA,NA,NA
